Player name,Rating,Won,Draw,Lost,Last Online,Joined
taehyung69,1326,263,21,200,16-01-2023,31-10-2020
ghosthunter29,1326,470,39,409,10-02-2022,26-08-2020
Winspringed,1326,82,6,63,30-09-2022,24-05-2020
str1k6r,1326,410,39,349,16-01-2023,07-05-2019
Akihiro_Segi,1326,38,1,11,16-01-2023,01-09-2018
jasprit_bumrah,1326,391,19,378,16-01-2023,14-11-2017
zqqzq,1326,28,2,29,16-10-2021,22-06-2015
zenbusukun,1326,579,47,266,16-01-2023,01-03-2021
ekusiadadus,1326,240,18,213,16-01-2023,23-12-2020
Sirfury007,1325,911,132,840,16-01-2023,05-11-2020
kariu1987,1325,35,5,27,12-07-2021,21-10-2012
AleksandrVLV,1325,1316,157,1292,16-01-2023,02-08-2020
TengaMaster,1325,1904,106,1855,16-01-2023,02-04-2019
tsunamayo,1325,282,8,108,16-01-2023,17-10-2010
troyvimala,1325,52,5,53,13-11-2022,30-10-2016
punk590,1325,16,0,31,16-01-2023,11-12-2022
TheBadBishopYouTube,1325,16,0,8,07-05-2021,18-04-2021
X3npaii,1325,410,29,243,16-01-2023,05-02-2021
Jeff_Joestar,1325,26,0,14,31-10-2021,17-01-2021
fgold99,1325,852,20,816,15-08-2021,22-12-2020
Sheldon22022,1324,44,4,56,16-01-2023,11-11-2020
F0rtyy,1324,188,18,132,16-01-2023,09-10-2020
Ocyrus27,1324,2853,224,2828,16-01-2023,16-08-2019
char_1,1324,87,3,66,16-01-2023,15-02-2016
NaoNaoki,1324,59,3,26,16-01-2023,26-02-2022
thanhtutaung70,1324,962,62,914,16-01-2023,25-08-2021
tesuto_arami,1324,64,2,52,16-01-2023,28-02-2021
shin0426shin,1324,490,28,429,16-01-2023,03-02-2021
kurichia710,1324,63,6,43,03-03-2021,12-01-2021
jeanninja,1324,683,62,612,16-01-2023,08-12-2020
ZetsuboKen,1323,585,27,523,16-01-2023,25-09-2020
Monstrecharmant,1323,92,10,106,18-05-2021,22-01-2020
AZeZio,1323,109,7,44,16-01-2023,21-09-2018
marcus_nelly,1323,825,71,798,16-01-2023,24-01-2016
Amasak1,1323,46,3,64,16-01-2023,25-04-2015
alpha-male-10101,1323,23,1,13,16-01-2023,07-12-2022
HarukaYoasobi,1323,362,26,374,16-01-2023,13-06-2022
HinaKawata,1323,561,30,478,16-01-2023,27-01-2022
unazo,1323,8,2,12,16-01-2023,03-09-2013
zkunzdearh,1323,122,10,80,16-01-2023,20-02-2021
Yakitori7,1323,24,2,22,14-11-2022,18-01-2021
wild-onedp,1323,5497,396,5379,16-01-2023,18-12-2020
369neco,1323,29,2,13,16-01-2023,11-12-2020
MrMoshion,1322,37,0,13,02-01-2022,02-11-2020
kt883,1322,12,3,12,06-05-2022,13-06-2020
Nobody28,1322,231,9,227,03-09-2022,17-10-2017
zaldyambat,1322,333,35,310,16-01-2023,16-01-2023
MarcosSogabe,1322,92,11,84,16-01-2023,27-09-2021
momochi64,1322,1475,117,1402,16-01-2023,15-08-2021
james_en,1322,18,0,10,06-09-2021,10-08-2021
MinervaGrass,1322,1133,56,1056,16-01-2023,03-08-2021
VinceHere09,1322,589,31,527,16-01-2023,11-07-2021
pirozhki98,1322,147,7,115,29-06-2021,19-05-2021
Y_sa3197258460,1322,22,3,21,16-01-2023,23-10-2013
soshyo,1322,58,3,33,16-01-2023,09-02-2021
MirzoChamp,1322,675,73,578,16-01-2023,07-02-2021
Schachshogi,1322,34,3,30,02-09-2021,23-01-2021
slow2theparty,1321,470,32,409,16-01-2023,08-08-2020
OlgaIgorevna,1321,946,77,927,31-05-2021,20-04-2020
Umidtokorozawa,1321,323,24,325,16-10-2021,24-11-2018
Yua_Plays,1321,21,2,18,25-02-2022,28-01-2022
jeketype,1321,33,4,9,15-12-2021,03-12-2021
AsuranChess,1321,134,4,114,28-08-2021,27-05-2021
Nyamtachi,1321,687,50,647,16-01-2023,09-04-2021
elisyahelisyah,1320,303,19,259,31-10-2021,16-08-2020
Yuuu23,1320,2291,210,2260,16-01-2023,05-04-2020
RikaHonjo,1320,43,2,31,27-10-2022,31-03-2020
detective4869,1320,65,4,71,30-07-2021,27-10-2018
Wakamatsu8Rinji,1320,107,4,21,07-08-2022,26-05-2022
Haruka_Tenoh,1320,177,11,117,16-01-2023,23-06-2021
MyamuraIzumi,1320,356,26,266,23-10-2021,24-01-2021
sebja,1320,1153,103,1096,16-01-2023,07-02-2013
MoTa81,1320,891,55,835,16-01-2023,16-12-2020
Ichika2011,1320,820,79,785,23-09-2022,29-11-2020
pegurin,1319,1840,87,1774,02-10-2022,21-11-2020
akodoyobi,1319,632,67,593,16-01-2023,05-11-2020
Naytedawgg,1319,148,4,89,16-01-2023,04-10-2020
plastikman00,1319,3462,322,3364,16-01-2023,07-09-2020
mdot2,1319,12,0,8,11-12-2021,19-04-2020
Lan1ak3a,1319,84,8,81,16-01-2023,30-01-2018
changgoo,1319,337,25,282,16-01-2023,21-11-2010
tokyo-ghost,1319,12,0,8,16-01-2023,16-01-2023
OniiChanKimochi,1319,83,9,20,30-11-2022,11-08-2022
joshcodm,1319,91,6,93,16-01-2023,22-06-2022
majunamekawa,1319,253,16,221,11-11-2022,28-01-2022
edodeeaward,1319,504,24,472,16-01-2023,17-11-2021
tantsusan,1319,265,26,214,19-08-2022,28-09-2021
alikhanhazara,1319,46,0,32,19-06-2022,12-08-2021
Sorachamp,1319,216,16,183,24-03-2022,15-02-2021
Mika821,1319,280,49,243,16-01-2023,14-12-2020
dazai8210,1318,121,5,119,10-05-2021,24-11-2020
sippinsomehenny,1318,523,37,406,16-01-2023,11-11-2020
nawriyzor,1318,1051,66,983,22-08-2022,07-09-2020
bulldog496,1318,251,12,217,16-01-2023,27-01-2020
BhuJank,1318,437,27,368,16-01-2023,02-09-2018
maguchipq,1318,32,3,20,16-01-2023,16-01-2023
r1Kyoshiro,1318,42,6,27,16-01-2023,04-11-2022
jhghyuuhjhhj,1318,28,3,30,16-01-2023,01-10-2022
Subronie,1318,193,4,90,16-01-2023,25-09-2022
homerest,1318,560,45,443,16-01-2023,08-06-2022
AnarchoCommunism69420,1318,516,30,422,16-01-2023,18-04-2021
aHyouka,1318,164,13,85,16-01-2023,04-03-2021
9army9,1318,44,2,53,23-10-2022,20-02-2021
nurugami,1317,21,0,12,16-01-2023,01-02-2020
pookoopoo,1317,475,51,450,16-01-2023,02-12-2019
avbnnnn,1317,67,6,59,16-01-2023,03-10-2022
Booganoog,1317,267,15,255,16-01-2023,26-07-2022
09_LiGHT,1317,139,10,65,18-11-2022,08-05-2022
GeminiKen,1317,134,4,119,16-01-2023,01-09-2021
ABE7575,1317,22,5,3,20-08-2021,24-06-2021
YuaAI,1316,286,16,265,11-10-2021,15-11-2020
KenKaneki00,1316,810,68,783,26-11-2022,27-03-2020
BradleyTowle,1316,152,6,123,30-09-2022,02-02-2012
ninja_iga,1316,176,2,143,21-02-2022,09-07-2018
wutplayer1m,1316,127,5,124,06-06-2022,26-10-2017
nene223,1316,316,20,250,24-04-2022,21-02-2017
mr5_85,1316,10,0,13,16-01-2023,23-03-2015
dulalsurya,1316,842,42,851,16-01-2023,12-06-2022
TechnoRag_UwU,1316,138,21,88,16-01-2023,17-04-2022
Bonk4000,1316,925,63,856,16-01-2023,15-02-2021
johnXII,1316,1504,117,1428,16-01-2023,10-12-2020
LifGP,1315,269,20,237,16-01-2023,16-11-2020
Scyblew,1315,36,1,1,19-05-2021,03-06-2018
WhatTheDaryl,1315,236,19,201,16-01-2023,06-11-2016
odemaru,1315,341,20,366,16-01-2023,13-07-2015
MaxoKrim,1315,20,1,11,16-01-2023,03-12-2022
vladi_boy777,1315,137,11,70,16-01-2023,19-11-2022
